Title,Genre,Rating,Duration,Votes
"110. Arlempdes, la légende du premier château de la Loire",WAR,6.5,N/A,-12
111. Un milione di granelli di sabbia,WAR,N/A,1h 4m,N/A
112. Athletes of War,WAR,N/A,1h 35m,N/A
113. On Moral Grounds,WAR,8.4,1h 14m,-7
"114. Gaza, since October 7",WAR,4.6,1h 34m,-7
115. Ekpebiwo m (I have Decided),WAR,N/A,N/A,N/A
116. Fedeltà Soldati. Prigionieri.,WAR,N/A,1h 20m,N/A
117. Anzac.Lemnos.1915.,WAR,N/A,51m,N/A
118. El laberinto. La guerra secreta de España,WAR,N/A,2h 1m,N/A
119. Prazdnik,WAR,N/A,1h 13m,N/A
120. Casques bleuEs,WAR,N/A,1h 22m,N/A
121. Wo de Ye Ye,WAR,N/A,1h 37m,N/A
122. Mythical Creatures,WAR,N/A,1h 30m,N/A
123. Iron Lady Sniper,WAR,N/A,1h 12m,N/A
124. Sem chyornykh bumag,WAR,6.7,1h 36m,-59
"125. Por ti, Portugal, eu juro!",WAR,8,1h 38m,-7
126. Roots,WAR,N/A,1h 32m,N/A
127. Twisted America,WAR,N/A,49m,N/A
128. Dosije Kosovo - Pogrom,WAR,7.6,1h 49m,-5
129. Rinnans rival,WAR,N/A,1h 34m,N/A
130. Bloody Sniper,WAR,N/A,1h 33m,N/A
131. Colonel Xanthi,WAR,N/A,N/A,N/A
132. Kadetar,WAR,N/A,1h 59m,N/A
133. The Lights,WAR,N/A,N/A,N/A
134. Attack Jiajin Mountain,WAR,N/A,1h 36m,N/A
135. Krasnye lenty,WAR,5.3,1h 2m,-23
136. For the Love of the Motherland,WAR,N/A,N/A,N/A
137. Do You Want to See Part Two?,WAR,N/A,1h 14m,N/A
138. As Noites Ainda Cheiram a Pólvora,WAR,N/A,1h 32m,N/A
139. 11.11.18 Soldat Inconnu,WAR,N/A,1h 18m,N/A
