Title,Genre,Rating,Duration,Votes
111. Un milione di granelli di sabbia,Animation,N/A,1h 4m,N/A
112. Athletes of War,Animation,N/A,1h 35m,N/A
113. On Moral Grounds,Animation,8.4,1h 14m,-7
"114. Gaza, since October 7",Animation,4.6,1h 34m,-7
115. Ekpebiwo m (I have Decided),Animation,N/A,N/A,N/A
116. Fedeltà Soldati. Prigionieri.,Animation,N/A,1h 20m,N/A
117. Anzac.Lemnos.1915.,Animation,N/A,51m,N/A
118. El laberinto. La guerra secreta de España,Animation,N/A,2h 1m,N/A
119. Prazdnik,Animation,N/A,1h 13m,N/A
120. Casques bleuEs,Animation,N/A,1h 22m,N/A
121. Wo de Ye Ye,Animation,N/A,1h 37m,N/A
122. Mythical Creatures,Animation,N/A,1h 30m,N/A
123. Iron Lady Sniper,Animation,N/A,1h 12m,N/A
124. Sem chyornykh bumag,Animation,6.7,1h 36m,-59
"125. Por ti, Portugal, eu juro!",Animation,8,1h 38m,-7
126. Roots,Animation,N/A,1h 32m,N/A
127. Twisted America,Animation,N/A,49m,N/A
128. Dosije Kosovo - Pogrom,Animation,7.6,1h 49m,-5
129. Rinnans rival,Animation,N/A,1h 34m,N/A
130. Bloody Sniper,Animation,N/A,1h 33m,N/A
131. Colonel Xanthi,Animation,N/A,N/A,N/A
132. Kadetar,Animation,N/A,1h 59m,N/A
133. The Lights,Animation,N/A,N/A,N/A
134. Attack Jiajin Mountain,Animation,N/A,1h 36m,N/A
135. Krasnye lenty,Animation,5.3,1h 2m,-23
136. For the Love of the Motherland,Animation,N/A,N/A,N/A
137. Do You Want to See Part Two?,Animation,N/A,1h 14m,N/A
138. As Noites Ainda Cheiram a Pólvora,Animation,N/A,1h 32m,N/A
139. 11.11.18 Soldat Inconnu,Animation,N/A,1h 18m,N/A
