Title,Genre,Rating,Duration,Votes,GenreMain
103. Saripodhaa Sanivaaram,Action,7.0,2h 46m, (10K),Action
104. The Quiet Ones,Action,6.1,1h 50m, (1.1K),Action
105. Justice League: Crisis on Infinite Earths - Part One,Action,6.2,1h 33m, (8.8K),Action
106. Cash Out,Action,4.8,1h 32m, (3.2K),Action
107. Justice League: Crisis on Infinite Earths - Part Three,Action,6.0,1h 34m, (4.8K),Action
108. The Family Star,Action,5.4,2h 39m, (5.6K),Action
109. Stand Your Ground,Action,4.6,1h 39m,-257,Action
110. Damaged,Action,4.7,1h 37m, (7.6K),Action
111. Singham Again,Action,4.7,2h 24m, (75K),Action
112. Chief of Station,Action,4.7,1h 37m, (4.8K),Action
113. Utopia,Action,3.6,1h 31m,-436,Action
114. Paradox Effect,Action,5.8,1h 27m, (9.6K),Action
115. Badland Hunters,Action,5.9,1h 47m, (13K),Action
116. Code 8: Part II,Action,5.7,1h 40m, (16K),Action
117. Armor,Action,3.6,1h 29m, (4.6K),Action
118. Officer Black Belt,Action,6.9,1h 48m, (8.8K),Action
119. Justice League: Crisis on Infinite Earths - Part Two,Action,5.5,1h 34m, (5.6K),Action
120. Chandu Champion,Action,7.8,2h 22m, (35K),Action
121. Revolver,Action,5.4,1h 54m,-926,Action
122. Cloud,Action,6.3,2h 4m, (1.6K),Action
123. Duchess,Action,4.6,1h 54m, (1.6K),Action
124. My Hero Academia: You're Next,Action,6.9,1h 50m, (2.7K),Action
125. Watchmen: Chapter II,Action,7.1,1h 30m, (3.5K),Action
126. Agni,Action,7.2,2h 2m, (15K),Action
127. Striking Rescue,Action,5.6,1h 51m,-701,Action
128. Drive Back,Action,4.5,1h 34m,-652,Action
129. Thangalaan,Action,6.5,2h 36m, (6.8K),Action
130. The Thundermans Return,Action,5.0,1h 10m, (1.9K),Action
131. Alien: Rubicon,Action,2.5,1h 26m,-464,Action
132. Cells at Work!,Action,6.7,1h 49m,-923,Action
133. A.R.M,Action,7.1,2h 30m, (9K),Action
134. Matka,Action,4.7,2h 36m,-608,Action
135. The Twisters,Action,2.6,1h 26m,-429,Action
136. Wynonna Earp: Vengeance,Action,5.5,1h 36m, (1.7K),Action
137. Long Gone Heroes,Action,5.1,1h 41m, (1.3K),Action
138. Dominique,Action,5.3,1h 40m, (2.4K),Action
139. Prey,Action,3.7,1h 26m, (3.5K),Action
140. Sasan,Action,8.8,2h 35m,-90,Action
141. Agent Recon,Action,2.4,1h 25m,-757,Action
142. Life After Fighting,Action,6.4,2h 6m, (2.2K),Action
143. No Way Up,Action,4.6,1h 30m, (11K),Action
144. Trouble,Action,6.2,1h 38m, (7.2K),Action
145. Vedaa,Action,6.0,2h 25m, (4.5K),Action
146. The Courier,Action,6.0,1h 41m, (4.6K),Action
147. Toofan,Action,7.3,2h 25m, (8.7K),Action
148. One Fast Move,Action,5.0,1h 48m, (2.3K),Action
149. Everybody Loves Jenifa,Action,8.3,2h 15m,-98,Action
150. Baby Assassins: Nice Days,Action,7.2,1h 43m,-358,Action
151. Bougainvillea,Action,6.4,2h 18m, (3.4K),Action
152. Classified,Action,3.7,1h 45m, (2.8K),Action
153. The Roundup: Punishment,Action,6.6,1h 49m, (5.7K),Action
154. Bagheera,Action,6.7,2h 38m, (7.7K),Action
155. River of Blood,Action,5.0,1h 26m, (2K),Action
156. Hitpig,Action,5.1,1h 26m, (1.1K),Action
157. Latency,Action,4.2,1h 34m, (3K),Action
158. The Last Front,Action,5.5,1h 38m,-640,Action
159. The Greatest of All Time,Action,5.7,3h 3m, (23K),Action
160. Guntur Kaaram,Action,5.4,2h 39m, (25K),Action
161. One More Shot,Action,5.4,1h 43m, (3.8K),Action
162. Hagen,Action,6.1,2h 19m, (1.4K),Action
163. Big City Greens the Movie: Spacecation,Action,6.2,1h 23m,-587,Action
164. Pani,Action,6.9,2h 23m, (3.4K),Action
165. Kill Em All 2,Action,4.1,1h 28m, (1.4K),Action
166. Raayan,Action,6.5,2h 25m, (11K),Action
167. Harbin,Action,6.2,1h 48m,-987,Action
168. Sikandar Ka Muqaddar,Action,5.9,2h 22m, (25K),Action
169. Kanguva,Action,4.5,2h 32m, (15K),Action
170. Invasion,Action,4.8,1h 31m,-755,Action
171. The Price of Money: A Largo Winch Adventure,Action,5.1,1h 40m, (1.3K),Action
172. Martin,Action,2.2,2h 27m, (36K),Action
173. Despatch,Action,4.4,2h 33m, (4.5K),Action
174. Uch Qahramon,Action,7.3,,-105,Action
175. Escape,Action,6.4,1h 34m, (2.2K),Action
176. Levels,Action,5.0,1h 33m, (1.6K),Action
177. Pins & Needles,Action,6.7,1h 35m,-23,Action
178. The Clean Up Crew,Action,4.2,1h 35m, (1.3K),Action
179. Khadaan,Action,7.0,2h 17m, (2.2K),Action
180. Shark Warning,Action,3.5,1h 34m,-376,Action
181. Viduthalai Part 2,Action,7.8,2h 50m, (17K),Action
182. Por,Action,5.1,2h 34m,-627,Action
183. Rifle Club,Action,7.0,1h 53m, (4.6K),Action
184. Bureau 749,Action,3.9,2h 3m,-582,Action
185. Gandhi 3,Action,5.7,2h 23m,-247,Action
186. Shoutai,Action,6.8,2h,-711,Action
187. Devil's Knight,Action,5.3,1h 30m,-966,Action
188. Hounds of War,Action,4.5,1h 35m, (2K),Action
189. Overlord: The Sacred Kingdom,Action,6.9,2h 15m, (1.5K),Action
190. The Waves of Madness,Action,5.8,1h 8m,-112,Action
191. Handsome Guys,Action,6.5,1h 41m,-977,Action
192. Mafia Wars,Action,3.6,1h 38m,-290,Action
193. Baby Invasion,Action,4.6,1h 20m,-589,Action
194. Article 370,Action,7.8,2h 38m, (25K),Action
195. Bachhala Malli,Action,8.2,2h 20m, (4K),Action
196. In the Fire of War,Action,7.1,1h 55m,-209,Action
197. Je Jatt Vigarh Gya,Action,5.6,2h 12m,-836,Action
198. DNA,Action,5.1,2h 36m,-218,Action
199. Bidurbhai,Action,9.1,2h 28m,-413,Action
200. Anaconda,Action,4.9,1h 24m,-673,Action
201. Rats!,Action,6.5,1h 25m,-213,Action
202. Megamind vs. The Doom Syndicate,Action,2.5,1h 23m, (5.7K),Action
203. Darkness of Man,Action,4.7,1h 49m, (3.3K),Action
204. Lights Out,Action,4.9,1h 30m, (1.9K),Action
205. Spiders on a Plane,Action,4.7,1h 18m,-402,Action
206. Eye for an Eye 2,Action,6.6,1h 30m,-554,Action
